WKT,name,description
"LINESTRING (-83.0746849 42.3264624, -83.0760366 42.3260526)",Line 25,
"LINESTRING (-83.0812773 42.3244235, -83.0819713 42.3244831, -83.0825936 42.324261, -83.0841171 42.3236264)",Line 26,
"LINESTRING (-83.0884565 42.3220387, -83.0879769 42.3214138, -83.0877945 42.3210092, -83.0873975 42.3206285, -83.0862066 42.3189705, -83.0859813 42.3187087, -83.0856702 42.3181613, -83.0853805 42.3176695, -83.0849084 42.3172252, -83.0840501 42.3160352, -83.0837497 42.3155275, -83.0834064 42.3151308)",Line 27,
"LINESTRING (-83.088757 42.3219276, -83.0882447 42.32127, -83.0880086 42.3210637, -83.0878155 42.3208099, -83.0877512 42.3206036, -83.0868285 42.3193502, -83.0865281 42.3190171, -83.0855625 42.3177319, -83.0853908 42.3175415, -83.085305 42.3172718, -83.0844467 42.3160501, -83.0840604 42.3155265, -83.08376 42.3151456, -83.0836313 42.3150346)",Line 28,
"LINESTRING (-83.1309119 42.2957421, -83.1384224 42.2929351, -83.143701 42.2907923, -83.1435294 42.2899986, -83.1437225 42.2896653, -83.1446881 42.2885541, -83.1456322 42.2876811, -83.1488294 42.2839189, -83.1505246 42.2819662, -83.1506104 42.2816487, -83.1513829 42.2806168, -83.1519837 42.2799342, -83.1527347 42.2793309, -83.1531853 42.2788387, -83.153829 42.2775845, -83.1541509 42.2771717, -83.1550092 42.2763937, -83.1551165 42.2762032)",Line 29,
"LINESTRING (-83.1505246 42.2819662, -83.1512679 42.2813394, -83.1524695 42.2799582, -83.1534136 42.2788627, -83.1536497 42.2783865, -83.1540359 42.2776244, -83.1551517 42.2767829, -83.1554521 42.2764178)",Line 30,
"LINESTRING (-83.2311159 42.3105162, -83.2310515 42.3106511, -83.2304507 42.3112144, -83.2302683 42.3114207, -83.230161 42.311627, -83.2298499 42.3118491, -83.2297104 42.3121982, -83.2293349 42.3127139, -83.22941 42.3129995, -83.2292061 42.3137929, -83.2293563 42.3140626, -83.2295817 42.314253, -83.2297211 42.314261, -83.230043 42.3141975, -83.2302254 42.3143482, -83.230794 42.3146497, -83.2311266 42.3151812, -83.2314807 42.3155779, -83.2316845 42.3156652, -83.23206 42.3156097, -83.2326072 42.3156414, -83.2330685 42.3157128, -83.2333046 42.3158873, -83.2339161 42.3164109, -83.2341521 42.3167283, -83.2343345 42.316998, -83.234592 42.317236, -83.2350319 42.3174105, -83.236137 42.3183784, -83.2363515 42.3186005, -83.2363837 42.3187115, -83.2365769 42.318775, -83.2368558 42.3190051, -83.2369738 42.3191875, -83.2371348 42.3192589, -83.2371562 42.3194414, -83.2372957 42.319481, -83.2374244 42.3196556, -83.2377356 42.3197984, -83.2378643 42.3198618, -83.2381433 42.3201157, -83.2380896 42.3206313, -83.2379716 42.3207106, -83.2377785 42.3207979, -83.2377785 42.3209169, -83.2378321 42.3211152, -83.237757 42.3212263, -83.2375746 42.3213849, -83.2374459 42.3214484, -83.237403 42.321615, -83.2374459 42.3217498, -83.2375532 42.3218529, -83.2377248 42.3218529, -83.2401817 42.3217657, -83.2403319 42.3217974, -83.2404607 42.3219005, -83.2406967 42.3224558, -83.2408577 42.3228842, -83.2409757 42.3232332, -83.2410722 42.3235902)",Line 32,
"LINESTRING (-83.2410722 42.3235902, -83.2412129 42.3237703, -83.2410145 42.3236949)",Line 33,
"LINESTRING (-83.2412129 42.3237703, -83.2413149 42.3238099, -83.2418513 42.3238575, -83.2419961 42.3239051, -83.2420391 42.3239844, -83.2420283 42.3241986, -83.2420605 42.324266, -83.242259 42.3244485, -83.2426291 42.3247935, -83.2428705 42.325091, -83.2430583 42.3252734, -83.2432675 42.3254638, -83.2433265 42.3256423, -83.243407 42.3258089, -83.2434982 42.3258882, -83.2437771 42.3259239, -83.2439166 42.3259318, -83.2441151 42.3259001, -83.2443726 42.3258287, -83.2446462 42.325793, -83.2447588 42.3258485, -83.2448822 42.3260468, -83.2449358 42.3266695, -83.2449358 42.3267567, -83.2448929 42.3268559, -83.2449037 42.3270026, -83.2449251 42.3274429, -83.2449573 42.3278315, -83.244968 42.3279822, -83.2449841 42.3280298, -83.2450431 42.3280655, -83.2452523 42.3280536, -83.2453167 42.3280615, -83.2453543 42.328125, -83.2454401 42.3286049, -83.245483 42.3288032, -83.2455367 42.3289539, -83.2456225 42.3291284, -83.2457405 42.3292989, -83.2459712 42.329525, -83.2463467 42.3298422, -83.2466686 42.3300524, -83.2470441 42.3302229, -83.2475108 42.3304212, -83.2477897 42.3305918, -83.2478434 42.3306235, -83.2482564 42.330798, -83.248412 42.3308297, -83.2489109 42.3310201, -83.2491684 42.3311113, -83.24934 42.3311509, -83.250091 42.3312461, -83.2510191 42.3313214, -83.2517916 42.3314008, -83.2523495 42.3314721, -83.2529342 42.3315951, -83.2535028 42.3317696, -83.2538998 42.3319084, -83.2546454 42.3322415, -83.2554555 42.3327015, -83.2561743 42.3330941, -83.2567858 42.3334788, -83.2571614 42.333792, -83.257671 42.334371, -83.2578641 42.3346962, -83.2580143 42.3350134, -83.2582181 42.3355924, -83.2583898 42.3361237, -83.2585025 42.3364846, -83.2586419 42.3367463, -83.2590174 42.3372222)",Line 34,
"LINESTRING (-83.2590174 42.3372222, -83.2593453 42.3375549, -83.259474 42.337662, -83.2597798 42.3378483, -83.2600427 42.3379713, -83.2602894 42.3380545)",Line 35,
