WKT,name,description
"LINESTRING (-83.2521795 42.3421495, -83.251801 42.3423327, -83.2507496 42.3423882, -83.2499556 42.3424199, -83.2491724 42.3425071, -83.2486253 42.3425626, -83.2477562 42.3426499, -83.2468336 42.3427529, -83.2458036 42.3428719, -83.2456748 42.342975, -83.2454388 42.343205, -83.2452457 42.3434746, -83.2451813 42.3437521, -83.2452242 42.3440931, -83.2453315 42.3443627, -83.2457285 42.3450209, -83.2459055 42.3453262, -83.2459484 42.3454491, -83.2459109 42.3455284, -83.2456909 42.3457028, -83.245471 42.3458654, -83.245294 42.3460279, -83.2451706 42.3462143, -83.2450687 42.3464958, -83.2450526 42.3466346, -83.2450794 42.3467575, -83.2451384 42.3468962, -83.245192 42.3469835, -83.2454978 42.3472451, -83.245707 42.3474077, -83.2459001 42.3475544, -83.2460289 42.3476218, -83.2461845 42.3476773, -83.2463293 42.3477566, -83.2464956 42.3477962, -83.2466458 42.3478597, -83.2468389 42.348046, -83.2468818 42.3481491, -83.246914 42.3484385, -83.2470106 42.3487874, -83.2470589 42.3490292, -83.2470589 42.3491125, -83.2472359 42.3495169, -83.2474075 42.3498935, -83.2476221 42.3503732, -83.2478099 42.3508212, -83.2478796 42.35096, -83.2480137 42.3511384, -83.24818 42.3512969, -83.248341 42.3514317, -83.2485448 42.3515744, -83.2487647 42.3516894, -83.2490973 42.3518202, -83.2497733 42.3520145, -83.2500951 42.3520977, -83.2504867 42.3522603, -83.2506691 42.3523673, -83.2508515 42.352518, -83.2509534 42.3525695, -83.2510607 42.3525973, -83.2511465 42.3525973, -83.2512807 42.3525616, -83.2513397 42.3526567, -83.2514738 42.3527439, -83.2515757 42.3527994)",Line 60,
"LINESTRING (-83.2515757 42.3527994, -83.2517889 42.3525767, -83.2518587 42.3525013, -83.2518426 42.3524339, -83.2523039 42.3521644, -83.252599 42.351978, -83.2529101 42.3518155, -83.2532051 42.3517005, -83.2535699 42.3516212, -83.2540849 42.3515578, -83.2544926 42.3515142, -83.254455 42.3514349, -83.254396 42.3513596, -83.254455 42.3513041, -83.2544819 42.3511574, -83.254455 42.3510226, -83.254396 42.3508402, -83.2543585 42.3506975, -83.2541171 42.3504041, -83.2538596 42.3501306, -83.2536611 42.3500354, -83.2535377 42.3499839, -83.2533661 42.3498531, -83.2531729 42.3497936, -83.2529369 42.3497896, -83.2527813 42.3497738, -83.2526526 42.3497222, -83.2524327 42.3496192, -83.2523254 42.3495914, -83.2521001 42.3495914, -83.2519928 42.3495835, -83.251923 42.3495478, -83.2517782 42.3493853, -83.2516548 42.3493099, -83.2514832 42.3492346, -83.2513061 42.3491038, -83.2512096 42.3490483, -83.2511398 42.3490126, -83.2510486 42.3489055, -83.2509199 42.3488302, -83.2507214 42.3487073, -83.2506088 42.3485884, -83.250539 42.3484694, -83.2504693 42.3483267, -83.2504585 42.3481443, -83.2504371 42.347958, -83.2503674 42.3476725, -83.2502923 42.3475338, -83.2501689 42.3473633, -83.2501045 42.3472444, -83.250024 42.3469034, -83.2500348 42.3467369, -83.2500616 42.3464197, -83.2502064 42.3460866, -83.2503513 42.3457774, -83.2505122 42.3455316, -83.2507482 42.3453888, -83.2508502 42.3452739, -83.2510808 42.344925, -83.2512578 42.3446355, -83.25129 42.3445324, -83.2513383 42.3444452, -83.2515207 42.3442668, -83.2516924 42.3440963, -83.2519016 42.3438743, -83.2519552 42.3438029, -83.2519874 42.3435967, -83.2520035 42.3435095, -83.2520089 42.3432399, -83.2520035 42.3429584, -83.2520035 42.3427998, -83.2519499 42.3426372, -83.251801 42.3423327)",Line 61,
"LINESTRING (-83.2515757 42.3527994, -83.2514182 42.3530688, -83.2514182 42.3532512, -83.2515469 42.3534415, -83.2516971 42.353719, -83.2517937 42.354044, -83.2518044 42.3544484, -83.2517508 42.3547893, -83.2515684 42.3552175, -83.251268 42.3556297, -83.2510426 42.3559469, -83.2507422 42.3563116, -83.2505277 42.356597, -83.2504418 42.3568428, -83.2504526 42.3575246, -83.2504847 42.3578814, -83.2505169 42.3582936, -83.2505384 42.3589516, -83.2505491 42.3594432, -83.2504096 42.3598951, -83.2500449 42.3604183, -83.2497015 42.3606878, -83.2492724 42.3609574, -83.248854 42.361219, -83.2484248 42.3615123, -83.2481459 42.3617898, -83.2480064 42.3620355, -83.2479206 42.3622971, -83.2479206 42.3625905, -83.2480064 42.3628996, -83.2480922 42.363082, -83.2484248 42.363518, -83.2488218 42.3639619, -83.2489398 42.3641204, -83.2491866 42.3645406, -83.2492938 42.364937, -83.2493046 42.3653333, -83.2492402 42.3657217, -83.2491866 42.3661894, -83.2493046 42.366776, -83.2494226 42.3670059, -83.2493046 42.3673071, -83.2493153 42.367434, -83.249723 42.3677748, -83.2500771 42.3680602, -83.2503882 42.3683376, -83.2506886 42.3685516, -83.2510212 42.3687181, -83.2514933 42.3688925, -83.252019 42.3689955, -83.2525018 42.3690193, -83.2529417 42.3689955, -83.2535317 42.3688766, -83.2539931 42.3687657, -83.2545832 42.3686468, -83.255184 42.368512, -83.2556239 42.3684169, -83.2558921 42.3683456, -83.2560101 42.3681553, -83.255935 42.3677669, -83.2558921 42.3673943, -83.2559135 42.3670614, -83.2559565 42.366776, -83.256053 42.3663163, -83.2560959 42.3660388, -83.2561067 42.3657376, -83.2560637 42.3653888, -83.2559565 42.3649528, -83.2558814 42.3646595, -83.2558063 42.3643186, -83.255817 42.3640808, -83.2559028 42.3637003, -83.2559565 42.3634863, -83.2561925 42.3631454, -83.2564178 42.3628758, -83.2566002 42.3627411, -83.256804 42.3625746)",Line 36,
"LINESTRING (-83.256804 42.3625746, -83.2574294 42.3622881, -83.2582126 42.3620661, -83.2592533 42.3619155, -83.2603477 42.3618917, -83.2610343 42.3618837, -83.2615386 42.3618283, -83.2619677 42.3617331, -83.262429 42.3615746, -83.2627295 42.3614398, -83.2633625 42.3611703, -83.2636736 42.3609959, -83.2639418 42.3607818, -83.2641242 42.3606074, -83.2642529 42.3604013, -83.264371 42.3601397, -83.2644139 42.3599177, -83.2644246 42.3596164, -83.2643066 42.3593865, -83.2641349 42.3591725, -83.2637916 42.3589188, -83.2633195 42.3586571, -83.2626544 42.3584431, -83.2621394 42.3582528, -83.2617853 42.3580943, -83.2616351 42.3579357, -83.2615815 42.3576978, -83.2616458 42.3573649, -83.2616673 42.3571825, -83.2616566 42.3569288, -83.2616029 42.3566751, -83.2613776 42.3563976, -83.2610558 42.3561439, -83.2605515 42.3559536, -83.2598005 42.355692, -83.2591138 42.3554383, -83.2584165 42.3551291, -83.2579873 42.3548992, -83.2574723 42.35459, -83.2566569 42.3540587, -83.2559274 42.3535592, -83.2554231 42.3531945, -83.2551334 42.3529567, -83.2548867 42.3527188, -83.2546399 42.3523858, -83.2545219 42.3520211, -83.2544575 42.3517277, -83.2544926 42.3515142)",Line 37,
"LINESTRING (-83.2499275 42.3679292, -83.2493589 42.3681511, -83.2492194 42.3680718, -83.2490692 42.3680005, -83.2488868 42.3678023, -83.2486186 42.3675011, -83.2482645 42.3673426, -83.2478139 42.3672316, -83.2467303 42.3672633, -83.2464084 42.3673188, -83.2460866 42.367192)",Line 38,
"LINESTRING (-83.2464084 42.3673188, -83.2463226 42.3674615, -83.2463012 42.367842, -83.2464192 42.3682383, -83.2464192 42.3687932, -83.2463441 42.3689755, -83.246387 42.3692371, -83.2464084 42.3706084, -83.2464406 42.370973, -83.2463977 42.3712108, -83.2466767 42.3715675, -83.2472131 42.3714961, -83.2483182 42.3714248, -83.24864 42.3714486, -83.2498417 42.3715199, -83.2501957 42.3715358, -83.2503781 42.3714644, -83.2503888 42.3712663, -83.2503888 42.370537, -83.2504854 42.3704498, -83.2505712 42.3703785, -83.2505283 42.3702913, -83.2504532 42.37022, -83.2504532 42.3701249, -83.2503888 42.3700218, -83.2502601 42.3700218, -83.2500348 42.3700694, -83.2498309 42.3700694, -83.2496378 42.3699822, -83.2495735 42.3698791, -83.2494876 42.3695066, -83.2494876 42.3693401, -83.2496056 42.3690151, -83.2495842 42.3687218, -83.2494662 42.3683493, -83.2493589 42.3681511)",Line 39,
"LINESTRING (-83.2560101 42.3681553, -83.2561306 42.3686846, -83.2563452 42.368867, -83.256946 42.3693029, -83.2577614 42.3698261, -83.2582549 42.3701669, -83.2585983 42.3704919, -83.2588128 42.370801, -83.2589523 42.371134, -83.2589738 42.3713876, -83.2590274 42.3714669, -83.2592956 42.3714272, -83.2595317 42.3713083, -83.2597248 42.3713242, -83.259993 42.3714114, -83.2601754 42.3714431, -83.2603685 42.3714114, -83.2605831 42.3713638, -83.2606797 42.3713955)",Line 40,
"LINESTRING (-83.1383948 42.3108262, -83.13845 42.3108334, -83.1385412 42.3109643, -83.1387558 42.3111627, -83.1389972 42.3113372, -83.139142 42.3113809, -83.1392332 42.3113809, -83.1396516 42.3115157, -83.1400379 42.3116149, -83.1396945 42.3119561, -83.1393995 42.3122099, -83.1389596 42.312567, -83.1385734 42.3129042, -83.1384124 42.3130073, -83.13823 42.3130509, -83.138053 42.3131263, -83.1378921 42.3132572, -83.1377151 42.3134476, -83.1375863 42.3137015, -83.1375327 42.3138165, -83.1373825 42.3139633, -83.1372054 42.314118, -83.1370123 42.3142965, -83.1367226 42.314602, -83.1364115 42.3149193, -83.1361165 42.3151613, -83.1357356 42.3154508, -83.1354674 42.3156571, -83.1350704 42.3158753, -83.1347432 42.3160458, -83.1343998 42.3161529, -83.1340029 42.3162838, -83.1342336 42.3164306)",Line 41,
"LINESTRING (-83.0405436 42.3542453, -83.0403218 42.3539618, -83.0398819 42.3532878, -83.0389485 42.3518765, -83.038294 42.3509092, -83.0393132 42.3504969)",Line 42,
"LINESTRING (-83.038294 42.3509092, -83.0376717 42.3499339, -83.0365237 42.3481736, -83.0356654 42.3468494, -83.0349788 42.3460406, -83.0351719 42.3467939, -83.0352148 42.3469208, -83.0353221 42.3470794, -83.0356869 42.3472855)",Line 43,
"LINESTRING (-83.0349788 42.3460406, -83.0344191 42.3452778, -83.0336789 42.3440645, -83.0318549 42.3413049, -83.0299023 42.3383469, -83.0284539 42.336158, -83.0277887 42.3351508, -83.0276814 42.3349842, -83.0276063 42.3347066, -83.0274883 42.3346353, -83.0272952 42.3343815, -83.0271343 42.3342546, -83.0271128 42.3341911, -83.0271128 42.3340484, -83.0270484 42.3338184, -83.0269519 42.3336201, -83.0268124 42.333509, -83.0265978 42.3332552)",Line 44,
"LINESTRING (-83.0312839 42.3404288, -83.0311766 42.3403892, -83.0308011 42.3399847, -83.0301573 42.3392075)",Line 45,
"LINESTRING (-83.1513531 42.3675368, -83.1513011 42.3677519, -83.1514513 42.3712872, -83.1513011 42.3716994, -83.1507432 42.3730627, -83.1507003 42.3734907)",Line 46,
